facility_id,region,chemical_category,inventory_volume_tons,storage_condition_score,containment_score,weather_exposure_index,inspection_score,nearby_population,transfer_frequency_30d,days_since_inspection,container_age_years,leak_history_24m,chemical_hazard_index,temperature_excursion_count,longitude,latitude,record_date
FAC-032,North Industrial,Alkaline,78,82,43,56,54,47948,6,194,7,3,9,3,72.82348,18.55217,2026-07-16
FAC-033,West Industrial,Alkaline,17,70,84,19,71,38877,0,261,2,2,7,4,72.8088,18.9745,2026-05-10
FAC-034,West Industrial,Solvents,50,91,82,45,73,85611,5,177,5,1,6,0,72.94862,18.48459,2026-08-24
FAC-035,East Logistics,Acids,30,86,72,47,78,75033,6,325,7,1,8,6,72.82469,18.88547,2026-02-13
FAC-036,South Logistics,Oxidizers,83,91,61,78,64,68996,8,262,5,2,3,0,72.6956,18.38282,2026-06-05
FAC-037,Central Industrial,Alkaline,23,59,79,91,52,16834,3,40,14,2,8,6,72.44261,18.84366,2026-01-24
FAC-038,West Industrial,Industrial Chemicals,79,56,74,27,58,25706,8,247,3,2,12,0,72.98235,18.65531,2026-01-19
FAC-039,West Industrial,Oxidizers,81,88,81,47,95,25761,1,247,10,0,4,5,72.59508,18.75939,2026-05-21
FAC-040,East Logistics,Acids,56,70,49,56,90,86008,1,85,1,0,10,6,72.97678,18.69176,2026-03-12
FAC-041,South Logistics,Oxidizers,44,46,85,9,93,78751,1,102,11,0,6,4,72.30429,18.65251,2026-07-09
FAC-042,North Industrial,Oxidizers,74,95,67,26,58,58899,8,321,4,0,5,6,72.31341,18.33564,2026-05-20
FAC-043,Central Industrial,Alkaline,42,81,66,50,58,80349,6,197,6,2,15,2,72.44511,18.76462,2026-03-01
FAC-044,Central Industrial,Industrial Chemicals,63,47,46,77,94,11868,6,160,3,3,4,3,72.44205,18.64195,2026-07-06
FAC-045,East Logistics,Acids,50,43,47,36,83,87886,1,259,14,4,10,2,72.67459,18.38218,2026-07-30
FAC-046,Central Industrial,Alkaline,69,59,61,80,98,21869,0,259,2,2,15,5,72.85587,18.37028,2026-01-06
FAC-047,Central Industrial,Industrial Chemicals,11,61,74,88,77,39338,5,232,14,0,6,0,72.61068,18.72853,2026-08-11
FAC-048,Central Industrial,Industrial Chemicals,44,75,78,20,72,23806,8,57,10,1,11,5,72.6399,18.42238,2026-08-09
FAC-049,North Industrial,Acids,45,82,88,62,70,9550,3,310,3,1,9,6,72.98892,18.98413,2026-01-01
FAC-050,West Industrial,Alkaline,13,44,77,69,59,54983,5,156,14,4,5,4,72.57515,19.00112,2026-02-22
FAC-051,North Industrial,Oxidizers,25,97,93,23,50,21175,2,247,1,0,6,3,72.70494,18.61355,2026-04-29
FAC-052,Central Industrial,Alkaline,67,68,53,84,74,73726,0,293,7,3,6,2,73.01586,18.92362,2026-01-27
FAC-053,West Industrial,Solvents,28,49,77,14,70,13238,1,294,14,0,7,1,72.53638,19.01286,2026-01-21
FAC-054,South Logistics,Acids,82,44,72,42,60,58164,8,42,9,0,12,0,72.62615,18.86848,2026-05-17
FAC-055,East Logistics,Solvents,66,58,52,59,64,75116,4,318,14,2,12,4,72.68343,18.67483,2026-04-15
FAC-056,South Logistics,Oxidizers,71,92,63,55,60,54162,6,39,7,3,11,4,72.8739,19.07429,2026-05-17
FAC-057,North Industrial,Solvents,33,73,84,82,80,60131,3,186,7,4,14,6,72.90514,18.93438,2026-07-10
FAC-058,West Industrial,Industrial Chemicals,11,74,83,87,60,19845,7,136,5,1,4,1,73.05135,18.42372,2026-07-02
FAC-059,North Industrial,Oxidizers,74,81,55,48,59,15854,8,35,3,0,2,4,72.67079,18.72452,2026-06-16
FAC-060,North Industrial,Acids,16,63,69,80,71,70421,5,242,7,0,14,5,72.60241,18.67539,2026-02-09
